arm,metric,first_step,first,last_step,last,min,max,mean,count
bi,rollout_reward/_max,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,rollout_reward/_mean,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,rollout_reward/_min,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,rollout_reward/_std,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,rollout_reward/_sum,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,rollout_reward/component/RewardMathVerify/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,rollout_reward/group_zero_std_frac/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,timing/step/blocking_generator_pull_model_state_dict/mean,1,1.6973353922367096e-05,2,7.2410330176353455e-06,7.2410330176353455e-06,1.6973353922367096e-05,1.210719347000122e-05,2
bi,timing/step/blocking_trainer_push_model_state_dict/mean,1,1.5184283256530762e-05,2,1.0069459676742554e-05,1.0069459676742554e-05,1.5184283256530762e-05,1.2626871466636658e-05,2
bi,timing/step/forward_backward/mean,1,15.91585636138916,2,0.4521137475967407,0.4521137475967407,15.91585636138916,8.18398505449295,2
bi,timing/step/optim/mean,1,2.222503185272217,2,0.03105376847088337,0.03105376847088337,2.222503185272217,1.12677847687155,2
bi,timing/step/total/mean,1,33.34207534790039,2,3.3150389194488525,3.3150389194488525,33.34207534790039,18.32855713367462,2
bi,timing/step/wait_for_training_batch/mean,1,15.202545166015625,2,2.8309719562530518,2.8309719562530518,15.202545166015625,9.016758561134338,2
bi,timing/weight_sync/generator_pull_model_state_dict,1,0.0,2,0.4598643183708191,0.0,0.4598643183708191,0.22993215918540955,2
bi,timing/weight_sync/trainer_push_model_state_dict,1,0.0,2,1.8273617029190063,0.0,1.8273617029190063,0.9136808514595032,2
bi,train_batch/num_metric_only_groups,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,train_batch/num_microbatches,1,1.0,2,1.0,1.0,1.0,1.0,2
bi,train_batch/num_rollout_groups,1,1.0,2,1.0,1.0,1.0,1.0,2
bi,train_batch/num_training_samples,1,1.0,2,1.0,1.0,1.0,1.0,2
bi,train_batch/padding_frac,1,0.875,2,0.875,0.875,0.875,0.875,2
bi,train_batch/policy_age/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,train_batch/policy_age_max,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,trainer/entropy/mean,1,4.516772747039795,2,4.626168251037598,4.516772747039795,4.626168251037598,4.571470499038696,2
bi,trainer/grad_norm/mean,1,0.0,2,0.0,0.0,0.0,0.0,2
bi,trainer/lr,1,9.999999974752427e-07,2,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2
bi,trainer/policy_version,1,1.0,2,2.0,1.0,2.0,1.5,2
bi,training_sample_builder/num_training_samples/sum,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,advantage/_max,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,advantage/_mean,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,advantage/_min,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,advantage/_std,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,advantage/_sum,1,0.0,2,0.0,0.0,0.0,0.0,2
no_bi,bit_wise/logprob_diff/max,1,0.11465072631835938,2,0.09965205192565918,0.09965205192565918,0.11465072631835938,0.10715138912200928,2
no_bi,bit_wise/logprob_diff/mean,1,0.012413490563631058,2,0.0004026010283268988,0.0004026010283268988,0.012413490563631058,0.006408045795978978,2
no_bi,bit_wise/ratio_tokens_different/mean,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,generator/decode_time_ms/max,1,1338.1297607421875,2,808.2186889648438,808.2186889648438,1338.1297607421875,1073.1742248535156,2
no_bi,generator/decode_time_ms/mean,1,1338.1297607421875,2,808.2186889648438,808.2186889648438,1338.1297607421875,1073.1742248535156,2
no_bi,generator/inflight_requests_at_completion/max,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,generator/inflight_requests_at_completion/mean,1,1.0,2,1.0,1.0,1.0,1.0,2
no_bi,generator/inter_token_latency_ms/max,1,111.51081085205078,2,67.35155487060547,67.35155487060547,111.51081085205078,89.43118286132812,2
